comp213 c1ccc(cc1)Nc1cc(=O)[nH]c(c1)CCc1ccccc1 8,
comp214 c1ccc(cc1)Sc1cc(=O)[nH]c(c1)CCc1ccccc1 8,
comp215 C1(CN(CC(O1)C)c1cccc(n1)C(=O)OC)C 10,
comp216 c1c(cc(nc1n1cccn1)n1cccn1)N 13,8,2,0,
comp217 c1cc(cnc1C(F)(F)F)CNc1cccc(n1)Cl 15
comp218 c1cnc(cc1OC)N1C[C@H](N(CC1)C(=O)OC(C)(C)C)C 0,
comp219 c1ccc(nc1OC)N1CCN(CC1)C(=O)OC(C)(C)C 0,2
comp220 c1(cc(ccn1)N)N 3,1
comp221 n1c(cc(cc1)Oc1c(nccc1)C)N 4,
comp223 c1c(cc(nc1)OC)N 0,
comp224 c1c(cc(nc1)N)C#N 0,
comp225 c1c(ccnc1NN(=O)=O)C 2,
comp226 c1cccc(=O)[nH]1 3,1
comp227 c1(cccc(=O)[nH]1)N 3,
comp228 c1cc(cc(n1)OC)CCO 1,
comp229 c1ccc(nc1)N(Cc1ccccc1)C(F)(F)F 0,
comp230 c1cc(cc(=O)[nH]1)N 3,
comp233 c1c(ccc(c1F)COc1cc(=O)[nH]c(c1)C)F 10,
comp234 c1c(ccc(c1)CSc1ccnc(c1)N)OC 9,
comp235 c1ccc(nc1N)OC 2,0
comp236 c1ccc(nc1OC)OC 0
comp237 c1ccc(cc1C(F)(F)F)c1cccc(n1)OC 13,11,
comp238 [N+]1([N-]C2=NC=CC=C2)=CC=CC=C1 7,5,
comp239 c1cc(c(nc1)OC)N 5,
comp241 c1(ccc(nc1)NC(=O)OC(C)(C)C)N 5,
comp242 c1cc(c(nc1)C(=O)N(C)OC)N 5,
comp243 c1(ccc(nc1)OC(C(F)(F)F)C(F)(F)F)N 5,
comp244 c1(c(cc(nc1)c1cccnc1)C(=O)OCC)O 5,
comp245 c1(c(cc(nc1)c1ccco1)C(=O)OCC)O 5
comp246 c1(c(cc(nc1)c1cccs1)C(=O)OCC)O 5
comp247 c1(ccc(nc1)OC)N 5,
comp248 n1nccc(c1C)Oc1cccnc1N 10,
comp249 c1(nc(c(cc1)N(=O)=O)N)c1cnc(o1)[Si](C(C)C)(C(C)C)C(C)C 5,
comp250 c1(nc(c(cc1)N(=O)=O)N)c1ccncc1Cl 5,
comp251 COC(C=C1)=CC=C1CN(CC2=CC=C(OC)C=C2)C3=C(N(=O)=O)C=CN=C3C4=NC=CO4 25
comp252 c1(ccc(nc1)C(F)(F)F)N 1,5,
comp253 c1cc(c(nc1)OC)OCC 0,
comp254 C1CN(CCCN(C1)c1ncc(cc1)OC=C)C(=O)OC(C)(C)C 10,
comp255 c1ccncc1N 2,4,
comp256 n1cccc(c1N)OC(C)c1cc(cc2c1nccc2)F 2,
comp257 n1cccc(c1N)OC(C)c1cc(ccc1n1nccc1)F 2,
comp258 n1cccc(c1N)O[C@H](C)c1cc(ccc1n1nccn1)F 2,
comp259 n1cccc(c1N)OC(C)c1cc(cc2c1ncs2)F 2,
comp260 c1cnc2c(c1O)nc(cc2)OC 0,
comp261 c1cnc2c(c1)oc(=O)[nH]2 0,
comp262 c1ncc2c(c1)nc(cn2)c1ccccc1 5,
comp263 c1[nH]c(=O)c2c(c1)ccc(n2)C 6,
